game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2698411,631.0,1.0,1.0,Antonio Conte,873.0,2.0,16.0,Sam Allardyce,Home,0
2698556,162.0,2.0,9.0,Leonardo Jardim,855.0,2.0,10.0,Antoine Kombouaré,Home,0
2701606,1420.0,0.0,17.0,Stéphane Moulin,417.0,1.0,3.0,Lucien Favre,Home,0
2701671,618.0,1.0,9.0,Christophe Galtier,2969.0,1.0,17.0,Olivier Dall'Oglio,Home,0
2702724,995.0,1.0,14.0,René Girard,273.0,2.0,6.0,Christian Gourcuff,Home,0
2702736,244.0,0.0,10.0,Rudi Garcia,40.0,0.0,9.0,Jocelyn Gourvennec,Home,0
2704222,15.0,3.0,6.0,Roger Schmidt,41.0,1.0,15.0,Bruno Labbadia,Home,1
2704223,33.0,0.0,17.0,Markus Weinzierl,27.0,2.0,1.0,Carlo Ancelotti,Home,0
2704228,105.0,1.0,12.0,Norbert Meier,24.0,0.0,9.0,Niko Kovac,Home,1
2704234,44.0,2.0,2.0,Pál Dárdai,33.0,0.0,17.0,Markus Weinzierl,Home,1
